source_taxon_name	source_taxon_external_id	source_taxon_path	interaction_type	target_taxon_name	target_taxon_external_id	target_taxon_path	latitude	longitude	study	study_title	_query_role	_query_name	_query_input_taxon
Helarctos malayanus	NCBI:9634	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Laurasiatheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	hasPathogen	Zika virus	NCBI:64320	root | Viruses | Riboviria | Orthornavirae | Kitrinoviricota | Flasuviricetes | Amarillovirales | Flaviviridae | Flavivirus | Zika virus			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	NCBI:9634	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Laurasiatheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Insecta	NCBI:50557	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	NCBI:9634	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Laurasiatheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	hasParasite	Baylisascaris transfuga	COL:9HHLZ	Biota | Animalia | Nematoda | Chromadorea | Chromadoria | Rhabditida | Spirurina | Ascaridomorpha | Ascaridoidea | Ascarididae | Baylisascaris | Baylisascaris transfuga			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	NCBI:9634	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Laurasiatheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	hostOf	Ursid gammaherpesvirus 1	NCBI:1226368	root | Viruses | Duplodnaviria | Heunggongvirae | Peploviricota | Herviviricetes | Herpesvirales | Herpesviridae | Gammaherpesvirinae | unclassified Gammaherpesvirinae | Ursid gammaherpesvirus 1			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	NCBI:9634	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Laurasiatheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	hostOf	Genomoviridae sp.	NCBI:2202565	root | Viruses | Monodnaviria | Shotokuvirae | Cressdnaviricota | Repensiviricetes | Geplafuvirales | Genomoviridae | unclassified Genomoviridae | Genomoviridae sp.			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	NCBI:9634	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Laurasiatheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	hostOf	Foot-and-mouth disease virus	NCBI:12110	root | Viruses | Riboviria | Orthornavirae | Pisuviricota | Pisoniviricetes | Picornavirales | Picornaviridae | Caphthovirinae | Aphthovirus | Foot-and-mouth disease virus			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Cocos	IRMNG:1302441	Plantae | Magnoliophyta | Liliopsida | Arecales | Arecaceae | Cocos			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Oniscidea	ITIS:93223	Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Isopoda | Oniscidea			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Magnoliopsida	IRMNG:1102	Plantae | Magnoliophyta | Magnoliopsida			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Mammalia	IRMNG:1310	Animalia | Chordata | Mammalia			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Vertebrata	IRMNG:1086832	Plantae | Rhodophyta | Florideophyceae | Ceramiales | Rhodomelaceae | Vertebrata			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Gallus	IRMNG:1278118	Animalia | Chordata | Aves | Galliformes | Phasianidae | Gallus			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Cocos nucifera	IRMNG:10589878	Plantae | Magnoliophyta | Liliopsida | Arecales | Arecaceae | Cocos | Cocos nucifera			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Animalia	ITIS:202423	Animalia			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Rodentia	IRMNG:11808	Animalia | Chordata | Mammalia | Rodentia			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Manihot esculenta	IRMNG:11022519	Plantae | Magnoliophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | Manihot | Manihot esculenta			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Ipomoea batatas	IRMNG:11163862	Plantae | Magnoliophyta | Magnoliopsida | Solanales | Convolvulaceae | Ipomoea | Ipomoea batatas			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Apoidea	ITIS:154344	Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Arecaceae	IRMNG:114569	Plantae | Magnoliophyta | Liliopsida | Arecales | Arecaceae			null		source	Helarctos malayanus	Helarctos malayanus
Helarctos malayanus	COL:9GR29	Biota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Carnivora | Caniformia | Ursidae | Helarctos | Helarctos malayanus	eats	Aves	IRMNG:1142	Animalia | Chordata | Aves			null		source	Helarctos malayanus	Helarctos malayanus
